vacancy_name,company,link,salary_min,salary_max,salary_currency
Разработчик / техлид (Python),SATORI,https://reutov.hh.ru/vacancy/76149421?from=vacancy_search_list&query=python,,230000.0,руб.
Junior Data Еngineer Управления модельных рисков и валидации,Банк ВТБ (ПАО),https://reutov.hh.ru/vacancy/73038601?from=vacancy_search_list&query=python,,,not stated
Python developer/QA (middle),Бюро 1440,https://reutov.hh.ru/vacancy/75749676?from=vacancy_search_list&query=python,,,not stated
Младший актуарий,Kept (Кэпт),https://reutov.hh.ru/vacancy/66952758?from=vacancy_search_list&query=python,,,not stated
Python-разработчик в команду Облачных баз данных,Selectel,https://reutov.hh.ru/vacancy/72417835?from=vacancy_search_list&query=python,,,not stated
"Аналитик SQL,Python","Иннотех, Группа компаний",https://reutov.hh.ru/vacancy/76103789?from=vacancy_search_list&query=python,,,not stated
Программист Python,Gallery,https://reutov.hh.ru/vacancy/76272911?from=vacancy_search_list&query=python,,,not stated
Python разработчик (SmartVoice),Сбер. IT,https://reutov.hh.ru/vacancy/76294359?from=vacancy_search_list&query=python,,,not stated
Стажер в Sber AI Lab,Сбер для экспертов,https://reutov.hh.ru/vacancy/76714622?from=vacancy_search_list&query=python,,,not stated
Разработчик Python (Риск - стратег),Сбер для экспертов,https://reutov.hh.ru/vacancy/76331409?from=vacancy_search_list&query=python,,,not stated
Разработчик Python,"Иннотех, Группа компаний",https://reutov.hh.ru/vacancy/76235272?from=vacancy_search_list&query=python,,,not stated
Junior Data Analyst,"РЕСО-Гарантия, САО",https://reutov.hh.ru/vacancy/75999369?from=vacancy_search_list&query=python,,,not stated
Python developer,Wanted,https://reutov.hh.ru/vacancy/76163281?from=vacancy_search_list&query=python,,,not stated
Python developer,Teachbase,https://reutov.hh.ru/vacancy/76544211?from=vacancy_search_list&query=python,,,not stated
Python разработчик,ГКУ Инфогород,https://reutov.hh.ru/vacancy/76160225?from=vacancy_search_list&query=python,,,not stated
Эксперт в аналитике данных (консультация),Суши WOK,https://reutov.hh.ru/vacancy/76226688?from=vacancy_search_list&query=python,,,not stated
